phenotype,neighbour_phenotype,INT Donor B,pvalue_INT Donor B,INT Donor E,pvalue_INT Donor E
DZ B-cells,Cytotoxic T-cells,-0.12697254084115397,0.0,-0.1195810175288585,1.1163526043266438e-134
DZ B-cells,DZ B-cells,0.7123392422662497,0.0,1.0,0.0
DZ B-cells,Exhausted T-cells,-0.004796663190823776,3.7618609004569514e-06,-0.017678495083368963,2.922304757474426e-18
DZ B-cells,Helper T-cells,-0.094577685088634,0.0,-0.01898247114151347,0.0
DZ B-cells,LZ B-cells,-0.3058394160583942,1.5193400486935428e-101,-0.10256519880290722,0.0
DZ B-cells,Other,0.2029892248870351,7.203999151310825e-253,-0.17300128259940145,0.0
DZ B-cells,Stroma,1.0,0.0,0.4470713980333476,6.06831231769448e-21
DZ B-cells,TFH,-0.2561696211331248,0.0,-0.17964942283026933,0.0
DZ B-cells,Treg,-0.048870351060132086,7.102314752034538e-211,-0.037473279179136385,0.0
DZ B-cells,myeloid-derived cells,-0.28474104970455333,0.0,-0.07443351859769132,0.0
Exhausted T-cells,B-cells,-0.15904572564612326,2.0424620223539277e-06,-0.11033536965465653,1.1820496829263588e-265
Exhausted T-cells,Cytotoxic T-cells,0.610337972166998,3.1820287001179745e-89,0.4827328263308815,0.0
Exhausted T-cells,DZ B-cells,-0.1371769383697813,3.848142956427224e-06,-0.10310435107841916,1.0234096849657504e-17
Exhausted T-cells,Exhausted T-cells,0.06560636182902584,1.7040025173134036e-137,0.38997631218052614,0.0
Exhausted T-cells,Helper T-cells,0.20675944333996024,0.06578284380899792,-0.07530233138012718,0.15045357764954703
Exhausted T-cells,LZ B-cells,-0.1908548707753479,4.020213674747236e-17,-0.03977060216930557,0.0
Exhausted T-cells,Other,-0.007952286282306162,1.1729496524077426e-24,-0.009225782321406308,0.0
Exhausted T-cells,Stroma,-0.19184890656063616,4.59446739273432e-62,-0.100610896396958,0.0
Exhausted T-cells,TFH,1.0,1.3480843646595237e-195,1.0,0.0
