phenotype,neighbour_phenotype,LN Donor A,pvalue_LN Donor A,LN Donor E,pvalue_LN Donor E
Other,B-cells,0.37699371677138716,7.987696493467551e-18,0.7809788267962513,5.619932732703675e-73
Other,Cytotoxic T-cells,-0.27742870952150794,3.739411683634863e-09,1.0,1.6534077365471833e-67
Other,DZ B-cells,-0.030932817786370224,0.7770545601548282,-0.029503644567858384,1.8450305455482166e-77
Other,FDC,0.023682938617689702,0.0463969940753119,-0.003471017007983339,7.073164374450786e-22
Other,Helper T-cells,-0.1623972933784437,3.0395091368404897e-43,0.7150295036445679,0.028380252108359937
Other,LZ B-cells,-0.11358144030932817,6.093492894438602e-98,-0.07393266227004512,0.0
Other,Other,0.07153214113098114,1.822746473305208e-212,0.04165220409580007,1.9052491708057803e-57
Other,Stroma,1.0,3.651454970931233e-196,0.8837209302325583,7.221069250116342e-187
Other,TFH,-0.09328177863702271,1.1357241862175878e-22,-0.12946893439777857,6.906307885184447e-27
Other,Treg,-0.007733204446592556,4.562182850764431e-20,-0.03089205137105172,2.693872050158377e-30
Other,myeloid-derived cells,0.13823102948284194,9.147606941317469e-10,0.08226310308920515,0.00444051720245099
Stroma,B-cells,-0.22434043146412014,5.93060246821453e-83,0.5316648262575476,0.0
Stroma,Cytotoxic T-cells,-0.2673474366570244,4.1321440732455255e-234,0.6779597302821699,8.527872321602133e-254
Stroma,DZ B-cells,0.03435216487180381,3.201465086012736e-83,-0.03417874679886286,0.0
Stroma,FDC,0.02118983724253302,7.58900807914867e-103,-0.0056210793412118515,0.0
Stroma,Helper T-cells,-0.17829551923233306,0.0,-0.541373963301459,8.936672004896932e-61
Stroma,LZ B-cells,-0.0641445648764507,0.0,-0.08058055118295233,0.0
Stroma,Other,0.01201802994923268,4.7784878709004553e-188,0.01495430303315086,5.646493592012086e-180
Stroma,Stroma,1.0,0.0,1.0,0.0
Stroma,TFH,-0.0635056169332822,0.0,-0.09258041021544534,0.0
Stroma,Treg,-0.035142136874266656,5.452358612821614e-196,-0.074231139722294,6.362137955330768e-09
Stroma,myeloid-derived cells,0.09646952218311085,1.5661255667740488e-107,0.06623123370063201,6.444173345838812e-72
TFH,B-cells,0.5054392704556062,1.2639765669207563e-31,0.5469322884703143,2.4906355396696304e-15
TFH,Cytotoxic T-cells,-0.5148098948048684,3.923391983185641e-56,-0.3958992273678579,0.0
TFH,DZ B-cells,0.05302839909525006,0.9649345464185919,0.3014838943177705,0.0
TFH,FDC,0.03170215057623954,0.02028599247253597,0.10672079812428206,0.0
TFH,Helper T-cells,-0.32560226905539796,0.0,-0.2999260413224441,0.0
TFH,LZ B-cells,1.0,0.0,1.0,0.0
TFH,Other,-0.006929235629914193,1.0584487964866316e-22,-0.005869486537947096,2.1117216868340347e-26
TFH,Stroma,-0.392525042185761,0.0,-0.24802907992257942,0.0
TFH,TFH,0.7681757799877931,0.0,0.5353664101716785,0.0
TFH,Treg,0.11890999174236168,1.0728628820901174e-52,0.09123668350406773,0.07457354872832372
TFH,myeloid-derived cells,-0.09061860481815244,3.8375192373605186e-204,-0.04544524697477537,1.8456604568432543e-83
Treg,B-cells,-0.5067768595041323,3.0348567992564526e-58,-0.6377141198103164,1.1836132999742318e-21
Treg,Cytotoxic T-cells,0.9026446280991735,1.3460196561829481e-11,-0.8652859769669989,3.104298561063281e-35
Treg,DZ B-cells,-0.0740495867768595,0.5563152845659596,-0.0566631181651021,0.0
Treg,FDC,-0.019504132231404958,3.643732679435301e-19,-0.004306590535178553,1.5947380168729538e-196
Treg,Helper T-cells,-0.6763636363636364,3.479984894373877e-16,-0.6553759798703184,1.5234020384863966e-229
Treg,LZ B-cells,-0.5092561983471074,1.380395574870035e-264,-0.34897899932255877,0.0
Treg,Other,-0.002644628099173554,1.2441510770108017e-20,-0.004306590535178553,1.781285509102752e-28
Treg,Stroma,-1.0,1.7561591883889048e-190,-0.6115358559953546,8.539385605958002e-09
Treg,TFH,0.5474380165289257,1.4862884433211298e-55,0.28055743733668825,0.08163493103711371
Treg,Treg,0.8535537190082645,0.0,1.0,0.0
Treg,myeloid-derived cells,0.3662809917355372,8.212984870510804e-116,0.21547469273202358,0.0
